Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
209,NWS,news_corp (class_b),26.88,1.34,0.0438058654059245,0.8,4.04,871.0,-560.3999999999999,1.24,0.0539,0.06860000000000001,12.066355323664228
210,NEE,nextera_energy,27.11,1.34,0.0438058654059245,0.8,4.04,871.0,-560.3999999999999,1.24,0.0539,0.06860000000000001,12.86470878468265
211,NLSN,nielsen_holdings,77.8,0.47,0.045627240782690905,2.12,0.79,1236.0,2598.899999999999,0.38,0.0524,0.0275,11.65850321620103
212,NI,nisource,55.74,3.07,0.2471673911494335,1.61,0.98,5962.0,-1116.4,2.33,0.4573,0.313,12.281787741496691
213,NSC,norfolk_southern,24.43,0.66,0.02788320429128081,2.46,0.44,461.8,-188.39999999999995,0.45,0.0717,0.0608,13.942404202703937
214,NTRS,northern_trust,25.58,1.13,0.0838500642422211,1.78,3.45,2476.0,394.6999999999999,1.03,0.2022,0.15960000000000002,13.952685103823088
215,NLOK,nortonlifelock,13.61,1.47,0.11651236779500702,2.71,7.78,3090.0,153.9000000000002,1.37,0.4234000000000001,0.2519,12.399907985223937
216,NRG,nrg_energy,0.0,1.12,-0.2113436457385502,5.5,4.07,-3502.79,-112.60000000000004,1.08,-0.9582,-0.1532,12.126762527916519
217,NUE,nucor,4.32,1.21,0.08508508508508507,5.86,8.3,1688.0,942.0000000000003,1.18,0.9944,0.3467,16.684973048861192
218,NVDA,nvidia,6.83,2.53,0.05709223911304149,0.79,1.22,1194.59,1007.7000000000003,1.34,0.3981,0.3685,25.33135068518224
219,NVR,nvr,90.63,7.15,0.18225689696774716,0.71,1.11,4694.0,3178.4000000000005,6.53,0.4072,0.2999,91.98405123656636
220,NXPI,nxp,19.12,6.18,0.22861775435751924,0.92,0.98,910.15,791.0000000000003,3.84,0.3954,0.3506,15.098670420695438
221,ORLY,o'reilly_automotive,40.24,1.37,0.023443634324172742,1.87,1.09,2094.0,-129.4,1.03,0.1953,0.1363,28.829490306979444
222,OXY,occidental_petroleum,24.47,0.76,0.3819071676665614,-84.7,0.46,2386.79,-313.4000000000001,0.15,38.8381,0.7023999999999999,12.55120916284099
223,ODFL,old_dominion_freight_line,0.0,1.09,-0.1912556896479726,3.01,1.42,3701.0,-4172.5,0.89,-0.0609,-0.0009,23.140230305027593
224,OKE,oneok,11.41,1.0,0.1319089259198152,5.82,2.2,1649.2,662.2999999999997,0.91,0.3742,0.2368,13.620484701559946
225,PKG,packaging_corporation_of_america,17.62,2.67,0.08643347183302734,1.46,1.66,1950.7,906.9999999999997,2.33,0.1602,0.1291,12.018848109409335
226,PH,parker-hannifin,17.34,2.31,0.1088721804511278,1.39,1.69,616.2,361.6,1.78,0.2184,0.1822,13.87329604038766
227,PAYX,paychex,22.26,1.72,0.1374891272832705,1.38,1.2,2505.63,998.9999999999997,1.03,0.2387,0.1766,15.023345217079576
228,PYPL,paypal,140.74,1.07,0.20898876404494385,4.11,49.28,133.11,161.7,1.07,0.2266,0.2822,9.252769786620494
229,PBCT,people's_united_financial,24.1,1.23,0.1346378504672897,0.91,1.26,511.5,-495.50000000000017,0.73,0.2281,0.2007,12.158613878139244
230,PKI,perkinelmer,29.59,0.95,0.14494003968596325,4.83,2.15,6428.0,3095.7000000000007,0.77,0.552,0.21420000000000006,16.295178809113
231,PFE,pfizer,20.01,1.97,0.1551997463538364,1.14,0.83,818.95,320.7,1.4,0.2393,0.2028,13.495052468308796
232,PM,philip_morris_international,17.57,1.39,0.06359647413665448,1.36,1.15,12151.0,6237.100000000001,1.18,0.28550000000000003,0.1613,13.19359717960817
233,PSX,phillips_66,16.49,1.0,0.463015873015873,-5.82,0.32,9210.0,360.9999999999991,0.54,-0.943,0.7329000000000001,11.876283250842336
234,PNW,pinnacle_west_capital,0.0,1.15,-0.12485896953742008,1.74,6.26,-809.0,1354.1999999999996,0.84,-0.0238,-0.0694,11.144571628561271
235,PXD,pioneer_natural_resources,13.95,1.04,0.042229367631296894,2.48,1.12,-297.72,193.3,0.81,0.0972,0.0636,15.809506643495085
236,PNC,pnc_financial_services,32.83,0.63,0.011429890896495987,0.62,6.13,416.0,499.5,0.55,0.0741,0.0967,15.627530438803216
237,PPG,ppg_industries,38.29,2.25,0.3694267515923567,1.32,0.93,375.88,76.70000000000005,0.81,0.764,0.6563,13.291088789320115
238,PPL,ppl,28.98,1.34,0.10906621392190152,2.41,1.22,1826.0,874.4,0.93,0.2317,0.1689,12.183297224719919
239,PFG,principal_financial_group,0.0,2.62,0.06651795249056694,1.34,1.19,-503.0,422.79999999999984,2.49,-0.0973,0.1047,13.33170011893695
240,PGR,progressive_corporation,29.9,0.67,0.20871482448505949,1.58,1.64,15626.0,2209.800000000002,0.49,0.2942,0.2572,12.330995566418332
241,PSA,public_storage,0.0,0.84,0.05097915918074021,2.51,1.2,179.0,781.6000000000003,0.75,-0.0426,-0.0435,22.442466454527644
242,QRVO,qorvo,15.3,1.45,-0.012603865185323498,1.48,0.72,471.1,215.79999999999973,0.93,0.102,0.0959,10.292417172952169
243,QCOM,qualcomm,30.09,2.41,0.0976038338658147,1.3,45.49,891.32,344.10000000000014,2.39,0.1235,0.1135,13.696396669113446
244,DGX,quest_diagnostics,23.24,1.68,0.33422103861517977,3.15,1.22,14203.0,-3579.0,1.41,1.0984,0.4313,15.205680705190996
245,RL,ralph_lauren_corporation,10.39,1.62,0.16089795918367347,1.11,8.15,1587.0,641.5999999999998,1.51,0.33640000000000003,0.2514,12.391137730733941
246,RJF,raymond_james_financial,22.22,2.05,-0.006981910504601714,1.86,0.53,273.1,48.40000000000008,1.64,0.14859999999999998,0.15039999999999998,14.20412760923384
247,O,realty_income_corporation,39.12,1.23,-0.014955860813111118,1.18,1.39,2539.0,-54.80000000000226,0.95,0.0453,0.0365,12.973387862686387
248,RF,regions_financial_corporation,10.08,3.71,0.2472694594220932,0.37,0.22,2003.5,2272.3,3.16,0.5052,0.467,12.276483556375362
